date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2025-02-03,1,1,2,2,2,7,47
2025-02-11,1,1,1,1,2,6,3
2025-02-12,1,1,2,0,2,6,2
2025-02-14,1,1,1,1,1,4,37
2025-02-16,1,0,1,1,1,4,62
2025-02-18,1,1,1,0,1,3,0
2025-02-21,1,1,2,2,3,9,14
2025-03-05,1,1,1,1,2,8,39
2025-03-06,1,0,1,1,1,2,0
2025-03-07,0,0,1,0,0,2,0
2025-03-12,1,0,1,1,1,3,1
2025-03-13,29,27,39,9,31,116,754
2025-03-14,0,0,2,0,1,4,0
2025-03-15,1,1,1,0,1,3,0
2025-03-17,1,1,2,1,2,6,41
2025-03-18,0,0,1,0,0,2,0
2025-03-19,1,0,3,1,1,8,11
2025-03-21,2,0,2,2,2,4,78
2025-04-02,1,1,1,1,1,5,98
2025-04-04,1,0,1,1,1,3,27
2025-04-05,1,1,1,1,1,5,53
2025-04-06,0,0,1,0,0,2,0
2025-04-07,1,1,2,1,2,6,7
2025-04-22,1,1,1,1,1,6,88
2025-04-27,1,0,4,1,7,12,14
2025-04-28,0,0,1,0,1,2,0
2025-04-29,1,0,1,1,3,5,39
2025-04-30,1,0,3,0,3,7,3
2025-05-03,1,0,1,1,1,3,14
2025-05-07,0,0,2,0,1,4,0
2025-05-14,1,1,2,0,1,5,0
2025-05-16,2,1,3,2,3,10,771
2025-05-19,1,1,1,1,2,8,214
2025-05-22,1,1,1,0,1,3,0
2025-05-27,1,1,3,1,1,8,57
2025-05-28,1,1,1,1,1,4,11
2025-05-30,1,1,2,0,1,5,0
2025-06-11,1,1,1,1,1,5,15
2025-06-12,1,1,1,1,1,4,33
2025-06-13,2,2,2,0,2,6,0
2025-06-15,1,1,1,0,1,3,0
2025-06-16,1,1,1,0,1,4,6
2025-07-24,1,1,1,0,1,3,0
2025-08-05,1,1,2,0,1,5,0
2025-08-07,1,0,1,1,1,1,0
2025-08-08,1,1,1,0,1,3,0
2025-08-11,0,0,1,0,0,2,0
2025-08-15,1,1,1,1,1,6,39
2025-08-20,1,0,2,1,1,4,49
2025-08-24,1,1,1,0,1,3,0
2025-08-26,1,1,1,1,1,4,10
2025-08-28,2,2,2,2,2,10,93
2025-09-09,1,1,1,1,1,4,257
2025-09-10,1,0,1,1,1,1,0
2025-09-11,1,0,4,2,2,7,4
2025-09-16,1,0,1,1,1,3,20
2025-09-24,1,0,1,1,1,3,81
2025-09-30,1,0,1,1,1,3,69
2025-10-03,1,1,1,1,1,4,126
2025-10-06,1,1,1,1,1,4,25
2025-10-08,3,2,3,1,3,10,11
2025-10-09,3,3,4,0,3,12,3
2025-10-10,1,0,1,1,1,2,16
2025-10-14,1,1,1,1,1,6,144
2025-10-17,1,0,1,1,2,5,22
2025-10-20,2,2,2,2,2,10,99
2025-10-22,2,1,2,2,2,5,298
2025-10-23,1,0,1,0,0,1,8
2025-10-25,1,0,1,1,2,2,0
2025-10-26,2,2,2,0,2,6,0
2025-10-28,1,0,1,1,1,2,2
2025-11-01,1,1,1,0,1,3,0
2025-11-02,1,1,1,0,1,4,0
2025-11-05,2,2,2,1,2,8,47
2025-11-09,1,0,1,1,1,3,6
2025-11-12,1,0,1,1,1,4,72
2025-11-15,0,0,1,0,0,2,0
2025-11-18,1,1,1,1,1,7,439
2025-11-25,4,3,5,2,4,13,13
2025-11-26,2,1,2,2,2,8,89
2025-11-29,1,0,1,1,1,3,6
2025-12-02,1,1,1,0,1,3,0
2025-12-03,1,1,2,2,2,10,474
2025-12-04,1,1,1,1,1,5,53
2025-12-08,1,0,1,0,1,3,2
2025-12-10,1,0,1,1,2,4,4
2025-12-13,1,1,1,1,1,7,44
2025-12-14,1,0,1,1,1,3,9
2025-12-17,1,1,1,0,1,3,0
